Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
4.0,0,38,1,9.50,5,1,,v England,Auckland,5 Feb 2008,53
4.0,0,22,2,5.50,4,1,,v England,Christchurch,7 Feb 2008,54
4.0,0,39,1,9.75,2,2,,v West Indies,Auckland,26 Dec 2008,78
4.0,0,44,1,11.00,3,2,,v West Indies,Hamilton,28 Dec 2008,79
4.0,0,31,1,7.75,2,1,,v Australia,Sydney,15 Feb 2009,83
4.0,0,42,1,10.50,1,1,,v India,Christchurch,25 Feb 2009,84
4.0,0,36,1,9.00,1,1,,v India,Wellington,27 Feb 2009,85
4.0,0,28,3,7.00,2,1,,v Pakistan,Dubai (DSC),12 Nov 2009,122
4.0,0,31,0,7.75,2,1,,v Pakistan,Dubai (DSC),13 Nov 2009,123
2.0,0,15,0,7.50,2,1,,v Bangladesh,Hamilton,3 Feb 2010,131
4.0,0,44,0,11.00,2,2,,v Australia,Christchurch,28 Feb 2010,149
4.0,0,21,1,5.25,3,1,,v Sri Lanka,Providence,30 Apr 2010,151
2.0,0,18,1,9.00,3,1,,v Zimbabwe,Providence,4 May 2010,159
3.0,0,39,1,13.00,3,1,,v South Africa,Bridgetown,6 May 2010,164
3.0,0,10,0,3.33,3,2,,v Sri Lanka,Lauderhill,22 May 2010,180
1.0,0,15,0,15.00,6,2,,v Sri Lanka,Lauderhill,23 May 2010,181
4.0,1,18,5,4.50,4,1,,v Pakistan,Auckland,26 Dec 2010,193
4.0,0,26,2,6.50,3,2,,v Pakistan,Hamilton,28 Dec 2010,194
4.0,0,53,1,13.25,3,1,,v Pakistan,Christchurch,30 Dec 2010,195
4.0,0,35,0,8.75,3,1,,v Zimbabwe,Hamilton,14 Feb 2012,220
4.0,0,28,3,7.00,3,1,,v South Africa,Wellington,17 Feb 2012,221
4.0,0,40,0,10.00,3,2,,v South Africa,Hamilton,19 Feb 2012,222
4.0,0,22,2,5.50,4,1,,v South Africa,Auckland,22 Feb 2012,223
4.0,0,35,0,8.75,3,1,,v West Indies,Lauderhill,30 Jun 2012,247
4.0,0,43,1,10.75,3,1,,v West Indies,Lauderhill,1 Jul 2012,248
4.0,1,16,3,4.00,2,2,,v Bangladesh,Pallekele,21 Sep 2012,267
4.0,0,31,2,7.75,3,1,,v Pakistan,Pallekele,23 Sep 2012,271
4.0,0,44,0,11.00,3,2,,v Sri Lanka,Pallekele,27 Sep 2012,275
2.0,0,32,0,16.00,2,2,,v England,Pallekele,29 Sep 2012,279
4.0,0,21,3,5.25,3,1,,v West Indies,Pallekele,1 Oct 2012,283
DNB,-,-,-,-,-,2,,v Sri Lanka,Pallekele,30 Oct 2012,290
4.0,0,38,3,9.50,1,2,,v Bangladesh,Dhaka,6 Nov 2013,333
4.0,0,36,0,9.00,1,2,,v West Indies,Auckland,11 Jan 2014,352
4.0,0,46,1,11.50,3,1,,v England,Chittagong,22 Mar 2014,380
4.0,0,46,2,11.50,3,1,,v South Africa,Chittagong,24 Mar 2014,383
4.0,0,20,2,5.00,1,1,,v West Indies,Roseau,5 Jul 2014,402
4.0,0,34,1,8.50,1,1,,v West Indies,Roseau,6 Jul 2014,403
4.0,0,45,1,11.25,3,1,,v England,Manchester,23 Jun 2015,423
4.0,0,47,0,11.75,3,1,,v South Africa,Auckland,17 Feb 2017,595
4.0,0,44,0,11.00,3,1,,v India,Delhi,1 Nov 2017,630
2.0,0,13,2,6.50,3,1,,v India,Thiruvananthapuram,7 Nov 2017,632
4.0,0,36,3,9.00,2,2,,v West Indies,Nelson,29 Dec 2017,636
TDNB,-,-,-,-,-,-,,v West Indies,Mount Maunganui,1 Jan 2018,637
2.3,0,21,3,8.40,1,2,,v West Indies,Mount Maunganui,3 Jan 2018,638
4.0,0,13,3,3.25,2,1,,v Pakistan,Wellington,22 Jan 2018,639
4.0,0,39,0,9.75,1,1,,v Pakistan,Mount Maunganui,28 Jan 2018,641
2.3,0,27,1,10.80,2,2,,v Australia,Sydney,3 Feb 2018,642
4.0,0,30,1,7.50,3,2,,v England,Wellington,13 Feb 2018,647
4.0,0,48,1,12.00,3,2,,v Australia,Auckland,16 Feb 2018,649
4.0,0,22,2,5.50,3,1,,v England,Hamilton,18 Feb 2018,650
2.0,0,21,0,10.50,3,2,,v Australia,Auckland,21 Feb 2018,653